Title,Text,Input type,Group,Minimum,Maximum,Media,Items,ImageFramed,Timeout,ShowButtons,Answer,Notes or questions,Variable name,Conditions ,Input Name (if you want to save it)
Discrimination ,"We’re very sorry to hear you are experiencing stress due to discrimination or marginalization. We recognize that people have different needs following such experiences, so we want to offer a number of tools to help support you at this time.",,UMA,,,,,,,,,,,,
Discrimination ,Here are some tools and resources you might find helpful at this time. Please select one or more of the following options:,Checkbox,UMA,,,,"Journal::I would like to write down my thoughts and feelings tied to this experience; Reporting:: Reporting - I would like to be provided with resources tied to reporting an instance of discrimination or harassment; Self-Care::Self-Care and Wellness - I would like to be provided with resources tied to self-care and wellness practices that may be helpful following an instance of discrimination, marginalization, or harassment.; Allyship::Allyship - I would like to be provided with resources tied to providing allyship and support to others who have experienced discrimination, marginalization, or harassment.; Community::Community support - I would like to be provided with resources tied to community-building and social support; Activism::Activism - I would like to be provided with resources tied to activism and empowerment; Training::I would like to complete a training session now to practice thinking flexibly in a different domain; ^NotMatched::These resources do not match what I am looking for at this time; ^NotNeeded::I am not looking for any additional resources at this time",,,,,,Discrimination,,Discrimination
Journal,Feel free to use the space below in any way that feels helpful for you:,Entry,UMA,,,,,,,,,,,Discrimination; Journal,journal_entry_discrimination 
Reporting,"<strong>Civil Rights Division:</strong> The Civil Rights Division enforces federal laws that protect you from discrimination based on your race, color, national origin, disability status, sex, religion, familial status, or loss of other constitutional rights. If you believe your civil rights, or someone else's, have been violated, submit a report using our online form. <a href=""https://civilrights.justice.gov/"">https://civilrights.justice.gov/</a><br><br>",,UMA,,,,,,,,,,,Discrimination; Reporting,
Self-Care,"<strong>Therapy for Black Girls:</strong> Podcast centered around mental wellness for Black women. <a href=""https://therapyforblackgirls.com/podcast/"">https://therapyforblackgirls.com/podcast/</a><br><br><strong>Counseling Alliance of VA:</strong> Culturally based trauma supportive services and culturally responsive counseling services. <a href=""https://www.cavahelps.com/"">https://www.cavahelps.com/</a><br><br><strong>Central Virginia Clinicians of Color Network:</strong> Temporary NON-CRISIS emotional support by phone for adult people of color on Wednesdays 5-8pm during COVID-19 outbreak. Call during this time and/or leave your name, phone, and email to receive a call back. If demand exceeds available resources, our team will make every effort to connect you with appropriate care. <a href=""https://cvccn.org/"">https://cvccn.org/</a><br><br><strong>Trans Lifeline:</strong> A non-profit hotline staffed by transgender volunteers for people who are experiencing difficulty or crisis. <a href=""https://translifeline.org/"">https://translifeline.org/</a><br><br><strong>Sister Circle Presents...10 Self-Care Tips for Black Women:</strong> Looking to engage in some self-care? Here's 10 ways you can! <a href=""https://static1.squarespace.com/static/50a50853e4b013b04b89ffc5/t/5ed80f43b6b8fc226c25e275/1591218015612/2020-06+Sister+Circle+Self-Care+Tips.pdf"">https://static1.squarespace.com/static/50a50853e4b013b04b89ffc5/t/5ed80f43b6b8fc226c25e275/1591218015612/2020-06+Sister+Circle+Self-Care+Tips.pdf</a><br><br><strong>Tool Kits & Resources from the Black Emotional and Mental Health Collective:</strong> Explore different ways that you can care for your emotional and mental health. <a href=""https://www.beam.community/tool-kits-education"">https://www.beam.community/tool-kits-education</a><br><br>",,UMA,,,,,,,,,,,Discrimination; Self-Care,
Allyship,"<strong>Talking About Race:</strong> Conversations about race are important - here's how you can do them right. <a href=""https://nmaahc.si.edu/learn/talking-about-race"">https://nmaahc.si.edu/learn/talking-about-race</a><br><br><strong>The Guide to Allyship:</strong> Interested in learning what it takes to be an effective ally? Here's a guide. <a href=""https://guidetoallyship.com/"">https://guidetoallyship.com/</a><br><br><strong>How Organizations Can Support the Mental Health of Black Employees:</strong> Here's how you can support the mental health of your colleagues that identify as Black. <a href=""https://hbr.org/2020/06/how-organizations-can-support-the-mental-health-of-black-employees"">https://hbr.org/2020/06/how-organizations-can-support-the-mental-health-of-black-employees</a><br><br><strong>Workplace Mental Health for Asian American Professionals:</strong> Learn about the challenges that people who identify as Asian American face in the workplace - and how they overcome them. <a href=""https://www.mindsharepartners.org/post/workplace-mental-health-for-asian-american-professionals-featuring-insights-from-employees-at-adobe"">https://www.mindsharepartners.org/post/workplace-mental-health-for-asian-american-professionals-featuring-insights-from-employees-at-adobe</a><br><br><strong>How to Support Asian American colleagues amid the recent wave of anti-Asian violence:</strong> Here's how you can support your colleagues that identify as Asian American. <a href=""https://www.cnbc.com/2021/02/19/how-to-support-asian-american-colleagues-amid-anti-asian-violence.html"">https://www.cnbc.com/2021/02/19/how-to-support-asian-american-colleagues-amid-anti-asian-violence.html</a><br><br><strong>Allies and Antiracism:</strong> Project Ready is a free online professional development curriculum provides information about how to be an ally and engage in anti-racist work. <a href=""https://ready.web.unc.edu/"">https://ready.web.unc.edu/</a><br><br>",,UMA,,,,,,,,,,,Discrimination; Allyship,
Community,"<strong>Womens Initiative - Sister Circle:</strong> Sister Circle offers a social support group to meet the needs of people from across the African diaspora who identify as women in various ways: one of which being, recognizing the unique mental health challenges and trauma created by anti-Black racism and systemic oppression of BIPOC individuals. <a href=""https://thewomensinitiative.org/sister-circle"">https://thewomensinitiative.org/sister-circle</a><br><br><strong>PFLAG:</strong> ""First and largest"" organization for connected to the LGTBQ+ community with over 400 chapters, including one in Charlottesvile. <a href=""https://pflagblueridge.org/charlottesville.html"">https://pflagblueridge.org/charlottesville.html</a><br><br><strong>The Activists' Guide:</strong> The Activists' Guide is a Charlottesville based organization that hat connects activists across the community and provides with resources such as activists' techniques and a newsletter, and more! <a href=""https://activistsguide.org/"">https://activistsguide.org/</a><br><br><strong>VDH Division of Multicultural Health and Community Engagement:</strong> Programs and partnerships to empower racial and ethnic minority communities to promote awareness of health inequities. <a href=""https://www.vdh.virginia.gov/health-equity/division-of-multicultural-health-and-community-engagement/"">https://www.vdh.virginia.gov/health-equity/division-of-multicultural-health-and-community-engagement/</a><br><br><strong>National Alliance for Hispanic Health:</strong> Culturally based trauma supportive services and culturally responsive counseling services. <a href=""https://www.healthyamericas.org/"">https://www.healthyamericas.org/</a><br><br><strong>Equality VA:</strong> Leading statewide non-partisan advocacy, outreach, and educational organizations seeking equality for LGBTQ Virginians. <a href=""https://equalityvirginia.org/"">https://equalityvirginia.org/</a><br><br><strong>Side by Side:</strong> Weekly curriculum based support groups for LGBTQ youth ages 14-20. Information and referrals for youth and families; training opportunities available for professionals and community agencies. <a href=""https://www.sidebysideva.org/"">https://www.sidebysideva.org/</a><br><br><strong>UVA Teen & Young Adult Health Center:</strong> Comprehensive healthcare services to teens and young adults up to age 26, including transgender health services, mental health assessment, eating disorder assessment and treatment and mental health assessments. Most insurance accepted and financial assistance is available. <a href=""https://uvahealth.com/services/lgbtq"">https://uvahealth.com/services/lgbtq</a><br><br>",,UMA,,,,,,,,,,,Discrimination; Community,
Activism,"<strong>The Activists' Guide:</strong> The Activists' Guide is a Charlottesville based organization that hat connects activists across the community and provides with resources such as activists' techniques and a newsletter, and more! <a href=""https://activistsguide.org/"">https://activistsguide.org/</a><br><br><strong>Black Lives Matter:</strong> A global network of activists whose mission is to eradicate white supremacy and empower Black communities. <a href=""https://blacklivesmatter.com/"">https://blacklivesmatter.com/</a><br><br><strong>Human Rights Campaign:</strong> Group striving to create equality for the LGBTQ+ community, specifically those who are trans, people of color, and HIV+, in the U.S. and the world as a whole. <a href=""https://www.hrc.org/"">https://www.hrc.org/</a><br><br><strong>PFLAG:</strong> ""First and largest"" organization for connected to the LGTBQ+ community with over 400 chapters, including one in Charlottesvile. <a href=""https://pflagblueridge.org/charlottesville.html"">https://pflagblueridge.org/charlottesville.html</a><br><br><strong>NCAAP:</strong> One of the oldest activism groups, NCAAP hopes to achieve equality, both socially and politically, through eradication of discrimination while securing the academic and economic well-being of black people. <a href=""https://naacp.org/"">https://naacp.org/</a><br><br><strong>5 Calls:</strong> Want to demand change from your representatives but not sure where to start? 5 Calls can help demystify the process! Just enter your location, choose issues that are important to you, and the website will tell you who to call and what to say. <a href=""https://5calls.org/"">https://5calls.org/</a><br><br><strong>The Equity Center:</strong> The UVA Democracy Initiative Center for the Redress of Inequity through Community Engaged Scholarship (aka The Equity Center) represents a new model of community engaged scholarship, imagining the university as not just an anchor institution, but also an authentic community resource. Our community partnerships and advocacy within the University work in tandem to create a more equitable culture. <a href=""https://virginiaequitycenter.org/"">https://virginiaequitycenter.org/</a><br><br>",,UMA,,,,,,,,,,,Discrimination; Activism,
